Time,Open,High,Low,Close,Volume
24.11.2016 01:00:00.000 GMT+0100,1.05419,1.05852,1.05180,1.05601,185310703125
25.11.2016 01:00:00.000 GMT+0100,1.05601,1.06273,1.05384,1.05901,213347828125
27.11.2016 01:00:00.000 GMT+0100,1.06111,1.06111,1.05945,1.06091,6559290039.0625
28.11.2016 01:00:00.000 GMT+0100,1.06089,1.06856,1.05636,1.06189,232504656250
29.11.2016 01:00:00.000 GMT+0100,1.06188,1.06542,1.05649,1.06472,226346875000
30.11.2016 01:00:00.000 GMT+0100,1.06472,1.06666,1.05527,1.05903,280866031250
01.12.2016 01:00:00.000 GMT+0100,1.05903,1.06688,1.05846,1.06621,278621843750
02.12.2016 01:00:00.000 GMT+0100,1.06621,1.06898,1.06253,1.06632,247566546875
04.12.2016 01:00:00.000 GMT+0100,1.06262,1.06270,1.05055,1.05675,24976730468.75
05.12.2016 01:00:00.000 GMT+0100,1.05675,1.07963,1.05374,1.07564,307861000000
06.12.2016 01:00:00.000 GMT+0100,1.07564,1.07853,1.06986,1.07186,218718234375
07.12.2016 01:00:00.000 GMT+0100,1.07185,1.07684,1.07098,1.07592,173033265625
08.12.2016 01:00:00.000 GMT+0100,1.07591,1.08734,1.05973,1.06211,246892625000
09.12.2016 01:00:00.000 GMT+0100,1.06210,1.06297,1.05310,1.05599,196037093750
11.12.2016 01:00:00.000 GMT+0100,1.05312,1.05498,1.05312,1.05460,6896080078.125
12.12.2016 01:00:00.000 GMT+0100,1.05460,1.06517,1.05254,1.06421,222248203125
13.12.2016 01:00:00.000 GMT+0100,1.06419,1.06671,1.06037,1.06274,209177140625
14.12.2016 01:00:00.000 GMT+0100,1.06276,1.06700,1.04965,1.05121,229277531250
15.12.2016 01:00:00.000 GMT+0100,1.05120,1.05228,1.03665,1.04167,283705093750
16.12.2016 01:00:00.000 GMT+0100,1.04167,1.04742,1.04008,1.04483,210788203125
18.12.2016 01:00:00.000 GMT+0100,1.04385,1.04570,1.04370,1.04466,8274790039.0625
19.12.2016 01:00:00.000 GMT+0100,1.04466,1.04795,1.03924,1.04027,185142437500
20.12.2016 01:00:00.000 GMT+0100,1.04027,1.04178,1.03523,1.03906,187248843750
21.12.2016 01:00:00.000 GMT+0100,1.03907,1.04511,1.03824,1.04263,175193984375
22.12.2016 01:00:00.000 GMT+0100,1.04263,1.04993,1.04253,1.04378,168554375000
23.12.2016 01:00:00.000 GMT+0100,1.04378,1.04690,1.04265,1.04532,113001867187.5
25.12.2016 01:00:00.000 GMT+0100,1.04416,1.04577,1.04380,1.04523,2361489990.2344
26.12.2016 01:00:00.000 GMT+0100,1.04521,1.04674,1.04402,1.04538,106529296875
27.12.2016 01:00:00.000 GMT+0100,1.04538,1.04633,1.04324,1.04614,103812539062.5
28.12.2016 01:00:00.000 GMT+0100,1.04613,1.04798,1.03721,1.04143,154021953125
29.12.2016 01:00:00.000 GMT+0100,1.04144,1.06526,1.04139,1.05658,179377046875
30.12.2016 01:00:00.000 GMT+0100,1.05657,1.05914,1.05059,1.05150,199463328125
01.01.2017 01:00:00.000 GMT+0100,1.05148,1.05288,1.05148,1.05230,352850006.1035
02.01.2017 01:00:00.000 GMT+0100,1.05230,1.05260,1.04501,1.04575,87951000000
03.01.2017 01:00:00.000 GMT+0100,1.04575,1.04901,1.03403,1.04174,218296046875
04.01.2017 01:00:00.000 GMT+0100,1.04174,1.05013,1.03900,1.04971,228092484375
05.01.2017 01:00:00.000 GMT+0100,1.04968,1.06153,1.04826,1.06039,273330281250
