Local time,Open,High,Low,Close,Volume
23.09.2016 10:00:00.000 GMT+0200,1.12023,1.12247,1.11958,1.12151,291761906250
23.09.2016 14:00:00.000 GMT+0200,1.12151,1.12288,1.12014,1.12227,327944789062.5
23.09.2016 18:00:00.000 GMT+0200,1.12228,1.12405,1.12193,1.12270,184006539062.5
23.09.2016 22:00:00.000 GMT+0200,1.12271,1.12327,1.12232,1.12237,17362119140.625
25.09.2016 22:00:00.000 GMT+0200,1.12294,1.12410,1.12228,1.12373,69180461914.0625
26.09.2016 02:00:00.000 GMT+0200,1.12373,1.12416,1.12267,1.12294,152815099609.375
26.09.2016 06:00:00.000 GMT+0200,1.12294,1.12369,1.12211,1.12318,178952076171.875
26.09.2016 10:00:00.000 GMT+0200,1.12318,1.12650,1.12308,1.12616,291590812500
26.09.2016 14:00:00.000 GMT+0200,1.12615,1.12792,1.12481,1.12688,305094515625
26.09.2016 18:00:00.000 GMT+0200,1.12688,1.12698,1.12492,1.12538,177251628906.25
26.09.2016 22:00:00.000 GMT+0200,1.12538,1.12554,1.12483,1.12500,64913639648.4375
27.09.2016 02:00:00.000 GMT+0200,1.12501,1.12527,1.12386,1.12434,158104648437.5
27.09.2016 06:00:00.000 GMT+0200,1.12434,1.12589,1.12406,1.12479,197277523437.5
27.09.2016 10:00:00.000 GMT+0200,1.12479,1.12521,1.12232,1.12258,279834851562.5
27.09.2016 14:00:00.000 GMT+0200,1.12258,1.12285,1.11910,1.12073,334542914062.5
27.09.2016 18:00:00.000 GMT+0200,1.12075,1.12260,1.12048,1.12217,162565312500
27.09.2016 22:00:00.000 GMT+0200,1.12216,1.12217,1.12094,1.12170,98586829589.8438
28.09.2016 02:00:00.000 GMT+0200,1.12170,1.12170,1.12025,1.12117,172217968750
28.09.2016 06:00:00.000 GMT+0200,1.12117,1.12144,1.11820,1.11925,187458351562.5
28.09.2016 10:00:00.000 GMT+0200,1.11926,1.12236,1.11922,1.12182,294299546875
28.09.2016 14:00:00.000 GMT+0200,1.12182,1.12369,1.11873,1.12000,336689929687.5
28.09.2016 18:00:00.000 GMT+0200,1.12000,1.12208,1.11956,1.12148,210780710937.5
28.09.2016 22:00:00.000 GMT+0200,1.12148,1.12270,1.12137,1.12233,117630389648.4375
29.09.2016 02:00:00.000 GMT+0200,1.12233,1.12332,1.12192,1.12331,159130968750
29.09.2016 06:00:00.000 GMT+0200,1.12331,1.12358,1.12158,1.12207,202735744140.625
29.09.2016 10:00:00.000 GMT+0200,1.12206,1.12254,1.12100,1.12228,264783335937.5
29.09.2016 14:00:00.000 GMT+0200,1.12228,1.12471,1.11968,1.12442,356990867187.5
29.09.2016 18:00:00.000 GMT+0200,1.12442,1.12497,1.12041,1.12183,273818472656.25
29.09.2016 22:00:00.000 GMT+0200,1.12183,1.12249,1.12162,1.12186,120507922363.2813
30.09.2016 02:00:00.000 GMT+0200,1.12187,1.12212,1.12045,1.12170,188050300781.25
30.09.2016 06:00:00.000 GMT+0200,1.12170,1.12271,1.11679,1.11857,266253273437.5
30.09.2016 10:00:00.000 GMT+0200,1.11857,1.11909,1.11601,1.11605,311266851562.5
30.09.2016 14:00:00.000 GMT+0200,1.11605,1.12507,1.11533,1.12378,376430117187.5
30.09.2016 18:00:00.000 GMT+0200,1.12377,1.12446,1.12212,1.12330,202667957031.25
30.09.2016 22:00:00.000 GMT+0200,1.12331,1.12444,1.12330,1.12392,27676810546.875
02.10.2016 22:00:00.000 GMT+0200,1.12287,1.12442,1.12272,1.12328,45308351318.3594
03.10.2016 02:00:00.000 GMT+0200,1.12328,1.12410,1.12265,1.12340,171383781250
03.10.2016 06:00:00.000 GMT+0200,1.12340,1.12404,1.12209,1.12296,167504886718.75
03.10.2016 10:00:00.000 GMT+0200,1.12296,1.12416,1.12264,1.12356,196657238281.25
03.10.2016 14:00:00.000 GMT+0200,1.12356,1.12394,1.12052,1.12107,254081859375
03.10.2016 18:00:00.000 GMT+0200,1.12107,1.12199,1.12082,1.12128,143735312500
03.10.2016 22:00:00.000 GMT+0200,1.12127,1.12162,1.12073,1.12091,67624018066.406296
04.10.2016 02:00:00.000 GMT+0200,1.12093,1.12114,1.11976,1.11991,141979421875
04.10.2016 06:00:00.000 GMT+0200,1.11991,1.12023,1.11652,1.11734,197759558593.75
04.10.2016 10:00:00.000 GMT+0200,1.11734,1.11810,1.11504,1.11632,259579500000
04.10.2016 14:00:00.000 GMT+0200,1.11631,1.12391,1.11379,1.12116,345786296875
04.10.2016 18:00:00.000 GMT+0200,1.12117,1.12152,1.11769,1.12039,227733148437.5
04.10.2016 22:00:00.000 GMT+0200,1.12039,1.12119,1.12004,1.12091,57679019042.968796
05.10.2016 02:00:00.000 GMT+0200,1.12091,1.12285,1.12062,1.12216,160372572265.625
05.10.2016 06:00:00.000 GMT+0200,1.12217,1.12282,1.12096,1.12193,202917486328.125
