Local time,Open,High,Low,Close,Volume
09.01.2021 21:00:00.000 GMT+0100,1.22174,1.22174,1.22174,1.22174,0
09.01.2021 22:00:00.000 GMT+0100,1.22174,1.22174,1.22174,1.22174,0
09.01.2021 23:00:00.000 GMT+0100,1.22174,1.22174,1.22174,1.22174,0
10.01.2021 00:00:00.000 GMT+0100,1.22174,1.22174,1.22174,1.22174,0
10.01.2021 01:00:00.000 GMT+0100,1.22174,1.22174,1.22174,1.22174,0
10.01.2021 02:00:00.000 GMT+0100,1.22174,1.22174,1.22174,1.22174,0
10.01.2021 03:00:00.000 GMT+0100,1.22174,1.22174,1.22174,1.22174,0
10.01.2021 04:00:00.000 GMT+0100,1.22174,1.22174,1.22174,1.22174,0
10.01.2021 05:00:00.000 GMT+0100,1.22174,1.22174,1.22174,1.22174,0
10.01.2021 06:00:00.000 GMT+0100,1.22174,1.22174,1.22174,1.22174,0
10.01.2021 07:00:00.000 GMT+0100,1.22174,1.22174,1.22174,1.22174,0
10.01.2021 08:00:00.000 GMT+0100,1.22174,1.22174,1.22174,1.22174,0
10.01.2021 09:00:00.000 GMT+0100,1.22174,1.22174,1.22174,1.22174,0
10.01.2021 10:00:00.000 GMT+0100,1.22174,1.22174,1.22174,1.22174,0
10.01.2021 11:00:00.000 GMT+0100,1.22174,1.22174,1.22174,1.22174,0
10.01.2021 12:00:00.000 GMT+0100,1.22174,1.22174,1.22174,1.22174,0
10.01.2021 13:00:00.000 GMT+0100,1.22174,1.22174,1.22174,1.22174,0
10.01.2021 14:00:00.000 GMT+0100,1.22174,1.22174,1.22174,1.22174,0
10.01.2021 15:00:00.000 GMT+0100,1.22174,1.22174,1.22174,1.22174,0
10.01.2021 16:00:00.000 GMT+0100,1.22174,1.22174,1.22174,1.22174,0
10.01.2021 17:00:00.000 GMT+0100,1.22174,1.22174,1.22174,1.22174,0
10.01.2021 18:00:00.000 GMT+0100,1.22174,1.22174,1.22174,1.22174,0
10.01.2021 19:00:00.000 GMT+0100,1.22174,1.22174,1.22174,1.22174,0
10.01.2021 20:00:00.000 GMT+0100,1.22174,1.22174,1.22174,1.22174,0
10.01.2021 21:00:00.000 GMT+0100,1.22174,1.22174,1.22174,1.22174,0
10.01.2021 22:00:00.000 GMT+0100,1.22174,1.22174,1.22174,1.22174,0
10.01.2021 23:00:00.000 GMT+0100,1.22175,1.22284,1.22118,1.22157,6928332.031
11.01.2021 00:00:00.000 GMT+0100,1.22163,1.22178,1.21821,1.2187,9060602.539
11.01.2021 01:00:00.000 GMT+0100,1.21869,1.21962,1.21812,1.21886,6717189.941
11.01.2021 02:00:00.000 GMT+0100,1.21887,1.21907,1.21711,1.21776,6147910.156
11.01.2021 03:00:00.000 GMT+0100,1.21776,1.21799,1.21667,1.21798,5631770.02
11.01.2021 04:00:00.000 GMT+0100,1.21801,1.21803,1.21707,1.21731,4613799.805
11.01.2021 05:00:00.000 GMT+0100,1.21734,1.21766,1.21666,1.21738,4326729.981
11.01.2021 06:00:00.000 GMT+0100,1.21739,1.21818,1.217,1.21815,5584160.156
11.01.2021 07:00:00.000 GMT+0100,1.21814,1.21907,1.21771,1.21899,6488200.195
11.01.2021 08:00:00.000 GMT+0100,1.21897,1.21933,1.21767,1.21783,9624540.039
11.01.2021 09:00:00.000 GMT+0100,1.21782,1.21998,1.21781,1.21901,14694480.47
11.01.2021 10:00:00.000 GMT+0100,1.21902,1.21937,1.21599,1.21605,13355299.8
11.01.2021 11:00:00.000 GMT+0100,1.21605,1.21673,1.21544,1.2167,9052799.805
11.01.2021 12:00:00.000 GMT+0100,1.2167,1.21688,1.21583,1.21662,8524580.078
11.01.2021 13:00:00.000 GMT+0100,1.21663,1.21719,1.21553,1.21656,9974820.313
11.01.2021 14:00:00.000 GMT+0100,1.21656,1.21682,1.21393,1.21444,12147450.2
11.01.2021 15:00:00.000 GMT+0100,1.21447,1.21579,1.21337,1.21374,19354039.06
11.01.2021 16:00:00.000 GMT+0100,1.21373,1.21557,1.21321,1.21503,15389339.84
11.01.2021 17:00:00.000 GMT+0100,1.21501,1.21716,1.21471,1.21687,11946419.92
11.01.2021 18:00:00.000 GMT+0100,1.21686,1.21742,1.21657,1.21669,5561240.234
11.01.2021 19:00:00.000 GMT+0100,1.21669,1.21715,1.21632,1.21654,4180890.137
11.01.2021 20:00:00.000 GMT+0100,1.21656,1.21691,1.21612,1.21622,3532530.029
11.01.2021 21:00:00.000 GMT+0100,1.21622,1.2165,1.21527,1.21533,4474134.766
11.01.2021 22:00:00.000 GMT+0100,1.21534,1.21577,1.21486,1.21496,1736957.031
11.01.2021 23:00:00.000 GMT+0100,1.21497,1.21572,1.21491,1.21529,351279.9988
12.01.2021 00:00:00.000 GMT+0100,1.21527,1.21612,1.21512,1.21605,2094350.098
12.01.2021 01:00:00.000 GMT+0100,1.21605,1.21619,1.21511,1.21592,4006780.029
12.01.2021 02:00:00.000 GMT+0100,1.21592,1.21619,1.21404,1.2149,5906479.981
12.01.2021 03:00:00.000 GMT+0100,1.21492,1.21492,1.21413,1.21439,3615449.951
12.01.2021 04:00:00.000 GMT+0100,1.2144,1.21499,1.21424,1.21484,2701179.932
12.01.2021 05:00:00.000 GMT+0100,1.21483,1.21484,1.21386,1.21427,3109320.068
12.01.2021 06:00:00.000 GMT+0100,1.21427,1.21552,1.21399,1.21531,3706340.088
12.01.2021 07:00:00.000 GMT+0100,1.21533,1.21613,1.21486,1.21608,4331680.176
12.01.2021 08:00:00.000 GMT+0100,1.21608,1.21752,1.21553,1.21633,8408209.961
12.01.2021 09:00:00.000 GMT+0100,1.21633,1.2167,1.21505,1.21519,9101200.195
12.01.2021 10:00:00.000 GMT+0100,1.21518,1.21789,1.21502,1.21617,12253900.39
12.01.2021 11:00:00.000 GMT+0100,1.21617,1.21666,1.21442,1.21452,7197930.176
12.01.2021 12:00:00.000 GMT+0100,1.21453,1.21582,1.21406,1.21514,5946029.785
12.01.2021 13:00:00.000 GMT+0100,1.21516,1.21598,1.21493,1.21551,8325750
12.01.2021 14:00:00.000 GMT+0100,1.21551,1.21645,1.21403,1.21461,10131030.27
12.01.2021 15:00:00.000 GMT+0100,1.21465,1.21587,1.21371,1.21511,14620620.12
12.01.2021 16:00:00.000 GMT+0100,1.21509,1.21664,1.21489,1.21557,11539559.57
12.01.2021 17:00:00.000 GMT+0100,1.21555,1.21682,1.21548,1.2168,9791519.531
12.01.2021 18:00:00.000 GMT+0100,1.2168,1.21778,1.21624,1.21744,7397979.981
12.01.2021 19:00:00.000 GMT+0100,1.21744,1.2193,1.2172,1.21871,6098290.039
12.01.2021 20:00:00.000 GMT+0100,1.21871,1.22067,1.21865,1.21995,7712549.805
12.01.2021 21:00:00.000 GMT+0100,1.21996,1.2208,1.21979,1.22055,4753620.117
12.01.2021 22:00:00.000 GMT+0100,1.22059,1.22097,1.22024,1.22062,2216546.143
12.01.2021 23:00:00.000 GMT+0100,1.22064,1.22079,1.22013,1.22049,1691637.451
13.01.2021 00:00:00.000 GMT+0100,1.22051,1.22091,1.22017,1.22085,3048830.078
13.01.2021 01:00:00.000 GMT+0100,1.22087,1.22159,1.22074,1.22079,4767799.805
13.01.2021 02:00:00.000 GMT+0100,1.22079,1.22181,1.22048,1.22174,6033410.156
13.01.2021 03:00:00.000 GMT+0100,1.22174,1.22191,1.2212,1.22126,3642810.059
13.01.2021 04:00:00.000 GMT+0100,1.22127,1.22201,1.22126,1.22158,2905570.068
13.01.2021 05:00:00.000 GMT+0100,1.22156,1.22156,1.22085,1.22085,2965149.902
13.01.2021 06:00:00.000 GMT+0100,1.22085,1.2214,1.22073,1.22089,3892159.912
13.01.2021 07:00:00.000 GMT+0100,1.22089,1.22172,1.22079,1.22138,4078979.981
